SDSS_NAME,SDSS_ID,RA,DEC,Z,MagAve,Sigma
013729.13+022833.6,7842-56899-0646,24.371409,2.4760131,1.5754937,18.766917541666665,0.11743320943208899
020645.47-022221.2,7838-56958-0273,31.689459,-2.37256,1.1524644,19.8713101952381,0.31115725802090594
003858.32+254756.4,7660-57357-0008,9.7430344,25.799009,1.1479574,0,0
003858.80+315805.4,7715-57364-0843,9.7450358,31.968167,1.2567255,0,0
002434.68-002425.7,7866-57002-0388,6.144511,-0.40715686,1.2065365,20.494770219780214,0.1726242952051883
000053.64+190255.9,7596-56945-0159,0.22353471,19.048877,1.0260955,20.004885790849666,0.36271924119707205
010101.98+210322.2,7624-57039-0647,15.258255,21.05618,1.9547002,20.51376452173913,0.16305243909607303
014148.14-040526.8,7893-57286-0480,25.450607,-4.090779,1.1328344,20.585426785714287,0.1347817112489278
002435.30+252309.7,7662-57358-0097,6.1471233,25.386046,1.8660537,19.625162138461537,1.09361524128977
011255.38-025712.7,4373-55811-0056,18.230785,-2.9535398,1.918,18.501419447183096,0.16189105952667274
013733.90-031856.9,7845-56980-0414,24.391269,-3.3158158,1.380677,19.667282497435895,0.3799744677817135
011702.35+331953.1,6597-56304-0612,19.259828,33.331432,1.091,19.978298397959176,0.3791296659501459
000908.26+172250.1,6111-56270-0436,2.2844142,17.380595,2.405,19.050803412186394,0.2597394722835206
002819.93-015500.6,7867-57003-0580,7.0830423,-1.9168368,1.5629908,19.710307225352114,0.5754275874135587
002044.17+272348.4,7694-57359-0028,5.1840452,27.396782,0.9909775,19.998376793814437,0.3670748026223697
005405.37+175401.6,7623-56901-0435,13.522405,17.900459,1.7499278,20.108489574660624,0.38297908656053553
003146.81-041143.0,7038-56571-0968,7.9450722,-4.1952832,2.366,19.7845182384106,0.3612129146822956
012508.64+054958.9,4424-55532-0360,21.286024,5.8330538,1.231,19.502612968503943,0.3897382348182656
015022.67-005501.9,0700-52199-0284,27.594486,-0.91720727,1.1328,19.433595680769233,0.3371354440525974
015432.05-084923.7,0665-52168-0560,28.633523,-8.8232346,1.5078,18.850400000000004,0.2195017586825382
004244.83+180943.3,7618-56898-0476,10.686797,18.162052,0.8418796,19.797758430147045,0.33207959613085997
012513.50-023601.0,7913-57333-0662,21.306265,-2.6002865,1.1051656,19.92758045962733,0.2697971475891169
004635.96+223323.6,7617-56949-0768,11.649856,22.556567,2.1633162,20.142371863636367,0.7934890780985768
012103.33+021116.8,7861-57281-0812,20.263901,2.1880101,1.1538174,20.2203615,0.3562725764547151
004635.75+264011.0,7673-57329-0758,11.648986,26.669732,1.0921816,19.293641987013,0.23170191337519766
000916.21-025554.5,7863-56975-0404,2.3175645,-2.9318162,2.1207893,19.05386557986111,0.756875347753017
015028.09+240324.5,7638-56981-0980,27.617069,24.056808,0.928651,20.358137364705886,0.24018330612922179
004248.38-075303.3,7154-56955-0382,10.701599,-7.8842562,1.0526527,19.33312368604651,0.40383497726901346
024717.29-005205.7,4241-55450-0366,41.822072,-0.86825641,0.826,20.040459542452833,0.3138728409029081
021929.75-013523.3,7831-57016-0281,34.87398,-1.5898328,2.2150807,20.020918421052635,0.3343060643329867
