,SDSS_NAME,SDSS_ID,RA,DEC,Z,MagAve,Sigma,qSDSS_NAME,qRA,qDEC
24,002749.88+111111.7,6195-56220-0650,6.9578352,11.186589,1.925,20.36845880645162,0.3816391633007567,140004.34+094853.1,210.01811,9.814761
25,002409.76+020815.9,7854-56989-0850,6.0406787,2.1377676,0.8871972,20.221518514285705,0.2881346106850216,122333.58+492821.5,185.89002,49.472738
26,010038.30-023342.4,4372-55541-0294,15.159618,-2.5617882,2.234,19.239120007843137,0.2353831997355004,142450.83+424629.7,216.21182,42.774939
27,014529.03-011508.1,7843-56902-0164,26.370965,-1.2522715,1.0352834,19.827216247933887,0.348986002626019,025306.51-021345.4,43.277135,-2.229287
28,014123.32+000752.8,7843-56902-0614,25.347189,0.13133795,0.9674997,16.336117357366778,0.0,021640.73-044404.8,34.169737,-4.734692
29,001621.98+084403.6,4536-55857-0150,4.0916015,8.7343433,2.397,0.0,0.0,083953.06+193830.1,129.97109,19.641699
30,005339.82+191551.9,7619-56900-0171,13.415938,19.264432,1.0062687,19.763223847161576,0.4578541614929487,083349.55+395047.3,128.45647,39.846474
31,001234.85-071143.9,7149-56593-0820,3.1452291,-7.1955487,2.343,19.395864081712062,0.2418534848415696,111837.14+280054.9,169.65479,28.015255
32,010423.33+180035.2,7622-56987-0464,16.09724,18.009802,1.2075957,19.632656971428577,0.2921488224175407,124058.54+624814.5,190.2438,62.804142
33,022514.46+041707.3,8732-57418-0933,36.310286,4.2853816,0.944,19.675826676375397,0.3089186564706452,012455.55+191221.6,21.231479,19.206003
34,013706.02+184232.9,7628-56978-0144,24.27509,18.70915,2.1362948,20.3248012112676,0.3013424907035206,132658.39+455100.9,201.7433,45.850264
35,001237.36+272045.3,7694-57359-0437,3.155692,27.345932,1.3074497,19.84122571768707,0.3280582900492793,132038.12+471543.2,200.15886,47.262086
36,021135.39-050806.8,7885-57336-0286,32.897499,-5.1352401,1.4524088,20.34381876635513,0.2953657986470872,094555.44+404950.2,146.48101,40.830634
37,002758.70+273845.7,7693-57361-0276,6.9946195,27.64604,1.0803398,20.169166523255807,0.4209356591782922,015026.85+260524.4,27.611879,26.090132
38,015758.96+014735.3,4271-55507-0350,29.495679,1.7931464,2.287,20.224154909090917,0.7785599001113475,235629.03+010930.7,359.121,1.158571
39,022522.28+023848.9,7827-57278-0717,36.342859,2.6469297,1.0084101,20.423961948717952,0.2595885749160585,150139.40+324809.9,225.41419,32.802753
