N,SDSS_NAME,RA,DEC,MagAve,Sigma
161,140023.27+491243.4,210.09696,49.212089,20.45468933333333,0.0839798046147554
162,133025.74+645424.6,202.60731,64.90688,20.062221823529416,0.4157251717783052
164,001453.83+021452.2,3.724331,2.247847,20.25184986153847,0.1660667118703304
166,092845.08+134801.4,142.18786,13.800414,20.11175860266668,0.2457100126973425
167,142438.09+463022.0,216.15871,46.506115,0.0,0.0
168,102559.95+255522.5,156.4998,25.922927,19.82669292592593,0.4441842178152655
170,110546.14+641557.3,166.44224,64.266039,19.13526613333334,0.2365855621435576
174,232814.76+232305.6,352.06152,23.384892,18.27782465060242,0.151995185353308
177,132854.67+470810.0,202.22778,47.13612,19.752376082733804,0.2989831258268766
179,095847.37+503556.5,149.6974,50.599036,20.12936428571428,0.2868751329212539
180,113714.32+615002.0,174.30962,61.833973,20.38663653571428,0.3979811747222242
182,004716.86+263614.7,11.820291,26.604102,19.92415024365483,0.2616671741142067
184,224336.81+191414.0,340.90341,19.237245,19.26226777903683,0.2612577447378095
186,113843.38+370830.8,174.68077,37.141891,20.165166801204823,0.3293750019989935
188,114832.56+370815.6,177.1357,37.137686,19.869800903930138,0.3602429837467647
189,005610.48-013818.6,14.043678,-1.638512,19.903885580645163,0.5529103355796363
191,021741.23-040035.0,34.421802,-4.009735,19.533908475836437,0.2460308341929565
194,022320.19-030423.0,35.834164,-3.073058,20.07676403076924,0.3505905622813958
195,154128.24+553156.7,235.36771,55.532513,17.93805906338028,0.0767838192473985
198,083457.00+421911.5,128.73754,42.319867,19.663968691131497,0.3747394793825686
200,131724.06+463228.5,199.35026,46.541278,19.394352038216557,0.2691101303752892
204,121639.52+422951.1,184.16468,42.497541,19.745729579787223,0.3164342542219862
205,091247.29+392757.5,138.19706,39.465983,20.24863103571428,0.3502558219273873
208,022407.67+013126.8,36.031962,1.52412,19.418758046296293,0.466360677548417
210,112026.51+580447.7,170.11046,58.079928,20.49878744,0.2421136367641381
212,121417.06+275826.6,183.57112,27.974081,20.09567022302158,0.3174283312397194
213,155400.94+314610.7,238.50394,31.769646,19.52952256228956,0.3081846751518752
215,102055.59+455219.0,155.23166,45.871949,20.27655028448277,0.3039556908573552
217,002538.51+223655.2,6.410493,22.615341,19.357454480565387,0.2583408739914773
218,132257.77+404750.3,200.74072,40.797323,18.21728491015624,0.0962084380287316
219,105829.60+013358.8,164.62336,1.566332,16.662969338308454,0.5932418729114654
223,020621.18-011624.2,31.588268,-1.27341,18.766246324414706,0.116840342919563
224,160546.26+591403.6,241.44272,59.234373,19.32447168461537,0.2751327869571546
230,111128.79+623629.3,167.86984,62.608283,19.75081019672131,0.4513169258674542
231,024004.86-054821.3,40.020263,-5.805919,19.27657163385826,0.3941695432027188
236,141412.84+025409.2,213.55353,2.902579,20.177545128205136,0.3971348665372336
239,023237.97-010231.2,38.158243,-1.042023,20.357009290909097,0.3529451434397628
246,025426.99+044922.3,43.61246,4.822873,18.463109188732385,0.1679116685438108
